Target,Status,Width,Height,PixelCount,TotalTime,Author
julian_IMG_20210604_163943.jpg,Good,2044,1884,3850896,280966.0841,Administrator
clyde_IMG_2674.jpg,Good,2976,3372,10035072,620804.0003,Julian Caleb
clyde_IMG_2682.jpg,Good,2192,2016,4419072,270428.9733,Julian Caleb
clyde_IMG_2672.jpg,Good,2028,3060,6205680,375116.0029,Julian Caleb
clyde_IMG_2681.jpg,Good,1568,2480,3888640,241626.0006,Julian Caleb
clyde_IMG_2662.jpg,Good,2424,4032,9773568,636443.6117,Julian Caleb
clyde_IMG_2673.jpg,Good,3024,3348,10124352,618846.0007,Julian Caleb
clyde_IMG_2665.jpg,Good,3024,3636,10995264,714525.8368,Julian Caleb
clyde_IMG_2671.jpg,Good,3024,3828,11575872,707348.9975,Julian Caleb
clyde_IMG_2680.jpg,Good,2320,2352,5456640,337654.0017,Julian Caleb
clyde_IMG_2670.jpg,Good,3024,3228,9761472,599540.9995,Julian Caleb
clyde_IMG_2659.jpg,Good,3024,3468,10487232,688462.6982,Julian Caleb
clyde_IMG_2679.jpg,Good,2736,4032,11031552,677498.9772,Julian Caleb
clyde_IMG_2661.jpg,Good,2424,4032,9773568,645717.6076,Julian Caleb
clyde_IMG_2668.jpg,Good,2976,1740,5178240,320393.9976,Julian Caleb
clyde_IMG_2663.jpg,Good,2904,3480,10105920,656334.0436,Julian Caleb
clyde_IMG_2678.jpg,Good,2320,2840,6588800,407579.0038,Julian Caleb
clyde_IMG_2686.jpg,Good,3024,3120,9434880,553523.0017,Julian Caleb
clyde_IMG_2677.jpg,Good,2112,3108,6564096,403199.9995,Julian Caleb
clyde_IMG_2685.jpg,Good,3024,3684,11140416,667976.0023,Julian Caleb
clyde_IMG_2666.jpg,Good,3024,3600,10886400,678433.4556,Julian Caleb
clyde_IMG_2658.jpg,Good,3024,3840,11612160,763450.7922,Julian Caleb
clyde_IMG_2667.jpg,Good,2100,3828,8038800,496922.9762,Julian Caleb
clyde_IMG_2660.jpg,Good,3024,1848,5588352,370036.5707,Julian Caleb
clyde_IMG_2676.jpg,Good,2544,3288,8364672,516735.0011,Julian Caleb
clyde_IMG_2684.jpg,Good,3024,3456,10450944,642441.0028,Julian Caleb
clyde_IMG_2675.jpg,Good,1956,3636,7112016,430321.9975,Julian Caleb
clyde_IMG_2664.jpg,Good,3024,3636,10995264,717106.9328,Julian Caleb
clyde_IMG_2683.jpg,Good,3024,3468,10487232,647292.9996,Julian Caleb
julian_IMG_20210604_164413.jpg,Good,3508,2136,7493088,353070.0016,Julian Caleb
julian_IMG_20210604_163959.jpg,Good,1517,1884,2858028,145117.0531,Julian Caleb
julian_IMG_20210604_164309.jpg,Good,2225,1284,2856900,142120.0002,Julian Caleb
julian_IMG_20210604_164409.jpg,Good,3304,2028,6700512,328026.9929,Julian Caleb
julian_IMG_20210604_163954.jpg,Good,2392,1584,3788928,193604.7664,Julian Caleb
julian_IMG_20210604_164259.jpg,Good,2333,1332,3107556,155103.9721,Julian Caleb
julian_IMG_20210604_164403.jpg,Good,2668,1524,4066032,192386.696,Julian Caleb
julian_IMG_20210604_163951.jpg,Good,2008,1980,3975840,195252.6983,Julian Caleb
julian_IMG_20210604_164118.jpg,Good,2872,1992,5721024,279666.9772,Julian Caleb
julian_IMG_20210604_163850.jpg,Good,2068,1488,3077184,152296.1804,Julian Caleb
julian_IMG_20210604_164347.jpg,Good,2824,1656,4676544,227537.716,Julian Caleb
julian_IMG_20210604_163947.jpg,Good,1804,1908,3442032,171896.0323,Julian Caleb
julian_IMG_20210604_164111.jpg,Good,2644,1824,4822656,238003.996,Julian Caleb
julian_IMG_20210604_164343.jpg,Good,3172,1872,5937984,286147.9761,Julian Caleb
julian_IMG_20210604_163943.jpg,Good,2044,1884,3850896,190734.587,Julian Caleb
julian_IMG_20210604_163859.jpg,Good,2392,2112,5051904,250174.0573,Julian Caleb
julian_IMG_20210604_164107.jpg,Good,2153,1632,3513696,176394.9704,Julian Caleb
julian_IMG_20210604_164339.jpg,Good,2896,1608,4656768,226363.0243,Julian Caleb
julian_IMG_20210604_163847.jpg,Good,1996,1908,3808368,190083.6508,Julian Caleb
julian_IMG_20210604_164052.jpg,Good,3244,2052,6656688,339137.9985,Julian Caleb
julian_IMG_20210604_164334.jpg,Good,2441,1380,3368580,163643.976,Julian Caleb
julian_IMG_20210604_164045.jpg,Good,2261,1284,2903124,145530.0006,Julian Caleb
julian_IMG_20210604_164329.jpg,Good,2920,1716,5010720,244792.9755,Julian Caleb
julian_IMG_20210604_164418.jpg,Good,2916,1728,5038848,242593.9741,Julian Caleb
julian_IMG_20210604_164004.jpg,Good,2140,2076,4442640,218633.0003,Julian Caleb
julian_IMG_20210604_164314.jpg,Good,3244,1740,5644560,276310.983,Julian Caleb
